pqif,seed,nloop,cc_lif,cc_qif,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
0,0,0,0.016712593279280142,0.006006537873871672,0.011359565576575912,0.2464349196608953,-0.0016804342639088069,-0.001071001195492471,-0.010101010101010102,3.3948166947652176e-05
0,0,1,0.7579298464567544,0.7489791841889217,0.7534545153228376,0.23079682780688324,0.3617757212612412,0.0028486907693898306,-0.006718588525746148,-0.011419753916218087
0,0,2,0.7608586219895902,0.7373250140967869,0.7490918180431886,0.3967626262464108,0.21683928447518233,0.0044002823765251714,0.00043874536026443134,-0.013653609144232371
0,0,3,0.7680989730787589,0.7438640553196683,0.7559815141992136,0.41487329734006606,0.212811519934393,0.0031136879943517303,-0.0029682357288385646,-0.007183790794469287
0,0,4,0.745637587877277,0.7338855869142529,0.7397615873957648,0.603962532608056,0.15159210791620953,0.0014398572317341676,-0.008749366168864204,-0.005385249687372408
0,0,5,0.7438001852199899,0.7360141457269235,0.7399071654734567,0.5889067602241503,0.15601606135772567,0.0006303309537934254,-0.008270619252233342,-0.0040439538351630154
0,0,6,0.7278620474313868,0.724703596455882,0.7262828219436344,0.6131175451874207,0.15123675548753512,0.005744950841906934,-0.008548985428680315,-0.0032681360078019805
0,0,7,0.7530734703223969,0.7395959886189378,0.7463347294706669,0.6027493227260873,0.1543367537884013,0.004111413878772272,-0.00916945659754281,-0.003862801594060419
0,0,8,0.7591226800870053,0.7123020727296953,0.7357123764083501,0.5611097736224363,0.16370115333612914,0.004712566837008133,-0.009190434885100828,-0.0025800071038389657
0,0,9,0.754694089652769,0.7359723215457993,0.7453332055992843,0.5260589329081949,0.1720274892637035,0.004945611053182196,-0.009870562648428997,-0.002789236841436967
0,0,10,0.7515418270982755,0.7336019724838326,0.7425718997910541,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
0,0,11,0.5646182874936438,0.5614481821824229,0.5630332348380336,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
0,0,12,0.7006564863977495,0.6589181965996035,0.6797873414986766,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
0,0,13,0.7578914213311226,0.7387260062225863,0.7483087137768544,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
0,0,14,0.48026722622744167,0.44808351886617637,0.46417537254680885,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
0,0,15,0.725691882436275,0.7087338340021371,0.7172128582192064,0.4956164241998332,0.18263235318679874,0.005639192245586103,-0.009781663626953215,-0.0026681984242369733
